filename,style_bucket,artist,title,license,source_url
"alex-morgan-modal-jazz-study-session-with-open-harmony.mp3","meditation_relaxing","Alex Morgan","Modal Jazz Study Session With Open Harmony","CC BY 4.0","https://freemusicarchive.org/music/alex-morgan/lofi-study-beats/modal-jazz-study-session-with-open-harmony/"
"alex-morgan-cocktail-jazz-study-session-without-drums.mp3","meditation_relaxing","Alex Morgan","Cocktail Jazz Study Session Without Drums","CC BY 4.0","https://freemusicarchive.org/music/alex-morgan/jazz-study-sessions-vol-2/cocktail-jazz-study-session-without-drums/"
"1000-handz-fresh-flowers.mp3","deep_house_yoga","1000 Handz","Fresh Flowers","CC BY 4.0","https://freemusicarchive.org/music/1000-handz/cc-by-free-to-use-dancehouse-instrumentals/fresh-flowers/"
"1000-handz-magnetz.mp3","deep_house_yoga","1000 Handz","Magnetz","CC BY 4.0","https://freemusicarchive.org/music/1000-handz/cc-by-free-to-use-dancehouse-instrumentals/magnetz/"
"play-house-deep-house-soul.mp3","deep_house_yoga","Play House","Deep House Soul","CC0 1.0","https://freemusicarchive.org/music/play-house/single/deep-house-soul/"
"play-house-deep-house-whispers.mp3","deep_house_yoga","Play House","Deep House Whispers","CC0 1.0","https://freemusicarchive.org/music/play-house/single/deep-house-whispers/"
"play-house-come-here.mp3","deep_house_yoga","Play House","Come Here","CC0 1.0","https://freemusicarchive.org/music/play-house/single/come-here-1/"
"play-house-on-my-mind-ala-bali.mp3","deep_house_yoga","Play House","On My Mind (Ala Bali)","CC0 1.0","https://freemusicarchive.org/music/play-house/single/play-house-on-my-mind-ala-balimp3/"
"play-house-the-caseohng.mp3","deep_house_yoga","Play House","The CaseOhng","CC BY 4.0","https://freemusicarchive.org/music/play-house/single/the-caseohng/"
"play-house-single.mp3","deep_house_yoga","Play House","Single","CC0 1.0","https://freemusicarchive.org/music/play-house/songs-1/single-2/"
"elijah-k-yoga.mp3","deep_house_yoga","Elijah_K","Yoga","CC BY 4.0","https://freemusicarchive.org/music/elijah-k/single/yoga-4/"
"elijah-k-deep.mp3","deep_house_yoga","Elijah_K","Deep","CC BY 4.0","https://freemusicarchive.org/music/elijah-k/single/deep-6/"
"elijah-k-path-of-peace.mp3","deep_house_yoga","Elijah_K","Path Of Peace","CC BY 4.0","https://freemusicarchive.org/music/elijah-k/single/path-of-peace/"
"elijah-k-rivers-flow.mp3","deep_house_yoga","Elijah_K","River's Flow","CC BY 4.0","https://freemusicarchive.org/music/elijah-k/single/rivers-flow/"
"elijah-k-the-truth-of-silence.mp3","deep_house_yoga","Elijah_K","The Truth Of Silence","CC BY 4.0","https://freemusicarchive.org/music/elijah-k/single/the-truth-of-silence/"
"ketsa-a-rose-in-the-concrete.mp3","triphop_downtempo","Ketsa","A Rose in the Concrete","CC BY 4.0","https://freemusicarchive.org/music/Ketsa/soul-sighs/a-rose-in-the-concrete/"
"ketsa-crumbling.mp3","triphop_downtempo","Ketsa","Crumbling","CC BY 4.0","https://freemusicarchive.org/music/Ketsa/soul-sighs/crumbling/"
"ketsa-dream-bar-jazz.mp3","triphop_downtempo","Ketsa","Dream Bar Jazz","CC BY 4.0","https://freemusicarchive.org/music/Ketsa/soul-sighs/dream-bar-jazz/"
"ketsa-driving-soul.mp3","triphop_downtempo","Ketsa","Driving Soul","CC BY 4.0","https://freemusicarchive.org/music/Ketsa/soul-sighs/driving-soul/"
"ketsa-love-you-the-same.mp3","triphop_downtempo","Ketsa","Love you the Same","CC BY 4.0","https://freemusicarchive.org/music/Ketsa/soul-sighs/love-you-the-same/"
"ketsa-new-days-new-minutes.mp3","triphop_downtempo","Ketsa","New Days New Minutes","CC BY 4.0","https://freemusicarchive.org/music/Ketsa/soul-sighs/new-days-new-minutes/"
"ketsa-orion.mp3","triphop_downtempo","Ketsa","Orion","CC BY 4.0","https://freemusicarchive.org/music/Ketsa/soul-sighs/orion-2/"
"00076924-untutled.mp3","triphop_downtempo","00076924","Untutled","CC BY 4.0","https://freemusicarchive.org/music/00076924/x3dotver15-untutled/untutled/"
"alex-morgan-chillhop-jazz-midnight-club-groove.mp3","triphop_downtempo","Alex Morgan","Chillhop Jazz Midnight Club Groove","CC BY 4.0","https://freemusicarchive.org/music/alex-morgan/jazz-study-sessions-vol-1/chillhop-jazz-midnight-club-groove/"
"alex-morgan-jazzhop-lofi-midnight-club-session.mp3","triphop_downtempo","Alex Morgan","Jazzhop Lofi Midnight Club Session","CC BY 4.0","https://freemusicarchive.org/music/alex-morgan/jazz-study-sessions-vol-3/jazzhop-lofi-midnight-club-session/"
"1000-handz-long-distance.mp3","liquid_dnb","1000 Handz","Long Distance","CC BY 4.0","https://freemusicarchive.org/music/1000-handz/cc-by-free-to-use-drum-bass-instrumentals/long-distance-1/"
"1000-handz-relativity.mp3","liquid_dnb","1000 Handz","Relativity","CC BY 4.0","https://freemusicarchive.org/music/1000-handz/cc-by-free-to-use-drum-bass-instrumentals/relativity/"
"1000-handz-superwave.mp3","liquid_dnb","1000 Handz","Superwave","CC BY 4.0","https://freemusicarchive.org/music/1000-handz/cc-by-free-to-use-drum-bass-instrumentals/superwave/"
"1000-handz-unity.mp3","liquid_dnb","1000 Handz","Unity","CC BY 4.0","https://freemusicarchive.org/music/1000-handz/cc-by-free-to-use-drum-bass-instrumentals/unity-1/"
"1000-handz-divine-db-edit.mp3","liquid_dnb","1000 Handz","Divine (D&B edit)","CC BY 4.0","https://freemusicarchive.org/music/1000-handz/cc-by-free-to-use-electronicgaming-instrumentals/divine-db-edit/"
"soularflair-accelerated-mind.mp3","liquid_dnb","Soularflair","Accelerated Mind (drum'n'bass, electronica, fast, filmic)","CC BY 4.0","https://freemusicarchive.org/music/Soularflair/cc-by-free-to-use-for-anything-1/accelerated-mind-drumnbass-electronica-fast-filmic/"
"soularflair-autonome.mp3","liquid_dnb","Soularflair","Autonome (soundtrack, drum'n'bass, dark, epic)","CC BY 4.0","https://freemusicarchive.org/music/Soularflair/cc-by-free-to-use-for-anything-1/autonome-soundtrack-drumnbass-dark-epic/"
"soularflair-epochelliptic.mp3","liquid_dnb","Soularflair","Epochelliptic (drum'n'bass, electronica, sense of journey)","CC BY 4.0","https://freemusicarchive.org/music/Soularflair/cc-by-free-to-use-for-anything-1/epochelliptic-drumnbass-electronica-sense-of-journey/"
"soularflair-manic-kinetic.mp3","liquid_dnb","Soularflair","Manic Kinetic (electronica, drum'n'bass, experimental)","CC BY 4.0","https://freemusicarchive.org/music/Soularflair/cc-by-free-to-use-for-anything-1/manic-kinetic-electronica-drumnbass-experimental/"
"soulja-unit-admiral-bob-sometimes-mercy-remix.mp3","triphop_downtempo","Soulja Unit (ft. Admiral Bob)","Sometimes Mercy (Soulja Unit Remix)","CC BY 4.0","https://ccmixter.org/files/SouljaUnit/71043"
"malredeszik-cc-drops-out.mp3","triphop_downtempo","MalreDeszik","CC-Drops-Out","CC BY 4.0","https://ccmixter.org/files/MalreDeszik/70748"
"osedax-mucofloris-siren-01.mp3","meditation_relaxing","Osedax Mucofloris","Siren (track 1)","CC BY 3.0","https://archive.org/details/taediumvitae005"
"osedax-mucofloris-siren-03.mp3","meditation_relaxing","Osedax Mucofloris","Siren (track 3)","CC BY 3.0","https://archive.org/details/taediumvitae005"
"osedax-mucofloris-siren-05.mp3","meditation_relaxing","Osedax Mucofloris","Siren (track 5)","CC BY 3.0","https://archive.org/details/taediumvitae005"
"ananta-live-on-rainy-days-1.mp3","meditation_relaxing","Ananta","Live On Rainy Days (part 1)","CC BY 3.0","https://archive.org/details/Ananta_Live"
"ananta-live-on-rainy-days-2.mp3","meditation_relaxing","Ananta","Live On Rainy Days (part 2)","CC BY 3.0","https://archive.org/details/Ananta_Live"
"kahvi014-vae-mistral.mp3","meditation_relaxing","Vae","Mistral","CC BY 1.0","https://archive.org/details/kahvi014"
"kahvi020-die-2d-life.mp3","meditation_relaxing","DiE","2D Life","CC BY 1.0","https://archive.org/details/kahvi020"
"kahvi061-xhale-oslo-by-night.ogg","meditation_relaxing","Xhale","Oslo by Night","CC BY 1.0","https://archive.org/details/kahvi061"
"wmri-emerald-sky.mp3","meditation_relaxing","WMRI","Emerald Sky","CC BY-SA 3.0","https://archive.org/details/wmri-emerald-sky.html"
"wmri-deep-forest.mp3","meditation_relaxing","WMRI","Deep Forest","CC BY-SA 3.0","https://archive.org/details/wmri-deep-forest"
"wmri-station-49-r.mp3","meditation_relaxing","WMRI","Station 49-R","CC BY-SA 3.0","https://archive.org/details/wmri-deep-forest"
